class,Pancake House,Coffee Shop,Dining Hall,Bakery,Brunch,Fast Food
Class of 2024,every month,every week,every week,rarely,every month,every week
Class of 2024,,,,,,
Class of 2024,rarely,every month,every week,at least once a semester,rarely,rarely
Class of 2024,at least once a semester,every month,every week,every month,at least once a semester,every week
Class of 2024,at least once a semester,rarely,rarely,at least once a semester,at least once a semester,at least once a semester
Class of 2024,at least once a semester,every week,every week,every week,,every week
Class of 2024,every month,every week,at least once a semester,every month,every month,at least once a semester
Class of 2024,every month,every month,every month,every month,every month,every week
Class of 2024,at least once a semester,every week,every week,at least once a semester,at least once a semester,at least once per year
Class of 2024,at least once per year,every month,rarely,at least once per year,at least once a semester,every week
Class of 2024,every month,every week,rarely,every month,every month,every month
Class of 2024,every month,every week,every week,every month,every month,every week
Class of 2024,at least once a semester,every week,every week,every month,at least once a semester,every week
Class of 2024,at least once per year,at least once a semester,rarely,rarely,at least once a semester,every month
Class of 2024,at least once a semester,every week,rarely,at least once per year,rarely,every month
Class of 2024,,every month,,every month,at least once a semester,rarely
Class of 2024,at least once per year,every week,rarely,every month,at least once a semester,rarely
Class of 2024,at least once per year,every month,every week,every month,at least once per year,every month
Class of 2024,at least once a semester,every month,every week,at least once a semester,at least once per year,every month
Class of 2024,at least once a semester,every week,every week,every month,rarely,every week
Class of 2024,every month,every month,rarely,at least once a semester,at least once a semester,every month
Class of 2024,at least once per year,every month,rarely,every month,at least once a semester,every month
Class of 2024,,every week,every week,every week,at least once a semester,every month
Class of 2024,at least once a semester,every week,every week,every month,every month,every month
Class of 2024,every month,every month,every week,at least once a semester,every week,every week
Class of 2024,at least once a semester,every month,rarely,every week,every month,every week
Class of 2024,every month,every week,every week,rarely,at least once per year,every month
Class of 2024,every month,,,,every month,
Class of 2024,every month,every week,at least once a semester,every week,every month,every month
Class of 2024,every month,every week,rarely,rarely,rarely,at least once a semester
Class of 2024,every month,every month,every week,every month,at least once a semester,every month
Class of 2024,every month,every week,every week,at least once a semester,at least once a semester,every week
Class of 2024,at least once a semester,every week,every week,every month,at least once a semester,at least once a semester
Class of 2024,rarely,every month,at least once a semester,at least once a semester,every month,every month
Class of 2024,every month,every week,every week,every week,every month,every week
Class of 2024,every week,every month,rarely,every month,every month,every month
Class of 2024,at least once a semester,every week,at least once a semester,rarely,at least once a semester,every month
Class of 2024,every week,every week,every week,every week,rarely,at least once a semester
Class of 2024,rarely,every week,at least once a semester,every month,every month,every month
Class of 2025,every month,every week,rarely,rarely,every month,every month
Class of 2025,at least once per year,every week,every week,every week,rarely,rarely
Class of 2025,at least once a semester,every week,every week,rarely,rarely,every month
Class of 2025,at least once per year,rarely,every week,rarely,at least once per year,at least once a semester
Class of 2025,at least once a semester,every week,at least once a semester,at least once a semester,every month,every week
Class of 2025,every month,every month,rarely,at least once a semester,at least once a semester,every week
Class of 2025,at least once a semester,every week,rarely,at least once a semester,every month,every week
Class of 2025,rarely,every month,rarely,every week,rarely,rarely
Class of 2025,rarely,rarely,every month,at least once per year,at least once a semester,every month
Class of 2025,every month,every week,every week,every week,at least once a semester,every week
Class of 2025,at least once per year,every week,every week,at least once per year,at least once per year,every week
Class of 2025,at least once per year,every month,every week,every month,at least once per year,at least once a semester
Class of 2025,every week,every week,,at least once a semester,at least once per year,at least once a semester
Class of 2025,at least once per year,at least once a semester,every month,every month,rarely,rarely
Class of 2025,,,,,,
Class of 2025,at least once a semester,every week,every week,every week,at least once a semester,every week
Class of 2025,at least once a semester,every week,every month,at least once a semester,every month,every month
Class of 2025,every month,every month,every week,every week,every month,every week
Class of 2025,at least once a semester,every week,every week,every week,at least once a semester,every month
Class of 2025,at least once per year,every month,every week,,,rarely
Class of 2025,rarely,every week,rarely,every week,at least once per year,every month
Class of 2025,every month,every week,at least once a semester,every month,every month,every month
Class of 2025,at least once a semester,every week,every week,at least once a semester,at least once per year,every month
Class of 2025,at least once per year,every month,every week,every week,at least once per year,at least once a semester
Class of 2025,rarely,every week,every week,every week,every month,rarely
Class of 2025,rarely,every week,every month,every month,every month,at least once per year
Class of 2025,at least once a semester,every week,every week,every month,at least once a semester,every month
Class of 2025,,every month,at least once a semester,at least once a semester,,
Class of 2025,every month,every week,every week,at least once a semester,every month,every month
Class of 2025,at least once per year,every week,every month,every month,rarely,rarely
Class of 2025,at least once a semester,every week,every week,every month,every week,every week
Class of 2025,at least once a semester,every week,rarely,every month,every month,every week
Class of 2025,rarely,every week,every week,at least once a semester,at least once per year,every month
Class of 2025,at least once per year,every week,every month,at least once a semester,at least once a semester,every month
Class of 2025,,every week,every week,at least once a semester,,
Class of 2025,,,,,,
Class of 2025,at least once a semester,every week,every week,every month,at least once a semester,every month
Class of 2025,every month,every week,every week,every week,every month,every month
Class of 2025,at least once a semester,every month,every week,at least once a semester,at least once per year,every week
Class of 2025,at least once per year,rarely,every week,rarely,rarely,every month
Class of 2025,rarely,every week,rarely,at least once a semester,rarely,rarely
Class of 2025,every month,every week,every week,,,
Class of 2026,at least once a semester,at least once a semester,every week,at least once a semester,rarely,at least once per year
Class of 2026,at least once a semester,every week,every week,every month,rarely,at least once per year
Class of 2026,,,,,,
Class of 2026,at least once per year,every week,every week,every month,at least once a semester,every month
Class of 2026,at least once a semester,every week,every week,every month,every month,every month
Class of 2026,at least once per year,every week,at least once a semester,every month,at least once a semester,at least once per year
Class of 2026,every month,every week,every week,every week,every month,every month
Class of 2026,every month,every week,every week,every week,every month,every week
Class of 2026,rarely,at least once a semester,every week,at least once per year,at least once per year,every month
Class of 2026,,every week,every week,at least once a semester,rarely,every month
Class of 2026,at least once per year,every month,every week,every month,at least once a semester,at least once per year
Class of 2026,rarely,every month,every week,at least once a semester,at least once a semester,every week
Class of 2026,at least once a semester,at least once a semester,every week,every week,at least once a semester,every month
Class of 2026,at least once per year,every week,every week,every week,at least once per year,every month
Class of 2026,at least once per year,,every week,,at least once a semester,every month
Class of 2026,every month,every week,every week,at least once a semester,every month,at least once per year
Class of 2026,at least once a semester,every week,every week,every month,every month,at least once a semester
Class of 2026,at least once a semester,every week,every week,every week,at least once per year,every month
Class of 2026,every month,every week,every week,every week,every month,every month
Class of 2026,at least once a semester,every week,every week,at least once a semester,at least once a semester,every month
Class of 2026,at least once a semester,every month,every week,at least once a semester,at least once a semester,at least once a semester
Class of 2027,at least once per year,every week,every week,at least once a semester,rarely,rarely
Class of 2027,at least once a semester,every month,every week,at least once per year,at least once per year,every month
Class of 2027,every month,every week,every week,every week,every month,every week
Class of 2027,at least once per year,every week,every week,every month,at least once per year,rarely
Class of 2027,at least once a semester,every week,every week,at least once per year,at least once per year,every month
Class of 2027,at least once a semester,at least once per year,every week,at least once per year,rarely,rarely
Class of 2027,at least once a semester,every week,every week,rarely,rarely,every month
Graduate student,every month,every week,rarely,rarely,every month,every month
Graduate student,at least once a semester,every month,rarely,at least once per year,every month,every month
Graduate student,at least once per year,every month,at least once per year,at least once a semester,at least once a semester,every week